confidence,class_id,class_name,area_m2,area_px,num_vertices
0.198165625333786,1,field,297.5,297.5,15
0.12510712444782257,1,field,259.0,259.0,10
0.1170961931347847,1,field,402.5,402.5,7
0.09707661718130112,1,field,1158.0,1158.0,14
0.08738722652196884,1,field,1446.5,1446.5,12
0.08045806735754013,1,field,1085.5,1085.5,9
0.07928377389907837,1,field,1994.0,1994.0,19
0.07692588865756989,1,field,8918.5,8918.5,44
0.07641472667455673,1,field,1496.0,1496.0,16
0.049996327608823776,1,field,3700.0,3700.0,15
0.03605194762349129,1,field,4250.0,4250.0,16
0.0343560166656971,1,field,4629.0,4629.0,24
0.03138615936040878,1,field,3310.5,3310.5,13
0.029054803773760796,1,field,6919.0,6919.0,22
0.028428444638848305,1,field,1200.5,1200.5,8
0.027671080082654953,1,field,26575.5,26575.5,46
0.025365998968482018,1,field,27565.5,27565.5,58
0.023815816268324852,1,field,7556.0,7556.0,18
0.02357332594692707,1,field,9321.5,9321.5,23
0.022366253659129143,1,field,6319.0,6319.0,19
0.02207103557884693,1,field,4914.0,4914.0,12
0.021472027525305748,1,field,13137.5,13137.5,19
0.021335046738386154,1,field,8057.5,8057.5,17
0.017698518931865692,1,field,7238.5,7238.5,15
0.0157468318939209,1,field,14407.0,14407.0,21
0.014145547524094582,1,field,32156.0,32156.0,49
0.01332041434943676,1,field,19346.0,19346.0,28
0.012425758875906467,1,field,28994.0,28994.0,31
0.01221594586968422,1,field,73572.5,73572.5,59
0.011936847120523453,1,field,33027.0,33027.0,30
0.011031229980289936,1,field,39441.0,39441.0,30
0.010462597943842411,1,field,22719.5,22719.5,23
0.008740966208279133,1,field,25178.5,25178.5,17
0.008384733460843563,1,field,20781.0,20781.0,21
